,review,rating
0,i recently stayed at the britannia international hotel and i must say that it was a pleasant experience while it is true that the furniture is slightly older it carries a charming vintage feel that adds character to the space the pieces are made of solid wood and although they show signs of use they fit perfectly into the traditional english ambiance of the hotelthe staff was incredibly friendly and welcoming throughout our stay which made a big difference the room conditions were excellent there was ample heating plenty of hot water and the bathroom was spotless the cleanliness overall was exemplary and it was clear that attention to detail is a priority herefor the price the hotel offers great value in terms of quality comfort and service yes it is a bit farther from the main tourist attractions but with proper planning and londons efficient transport system getting around was not an issue at alllastly a special thanks to the hotel staff for their excellent hospitality i would highly recommend this hotel for anyone looking for an affordable yet comfortable place to stay in london,4/5
1,ill be honest i have stayed in several britannia hotels before and have come to expect a budget experience the properties are usually run down and staff a bit unmotivated and indeed that was my experience a few years ago when i visited the britannia international but this visit was completely different my room was in the basement and appeared to have been recently refurbished it was spotlessly clean and comfortable the staff on the front desk were very charming and accommodating allowing me to check in a little early so i could drop my luggage off the public areas were as before to be fair very well presented there is a nice bar area overlooking the dock plenty of space with comfy chairs in the lobby when you consider that in the same price range there are travelodges and premier inns i wouldnt hesitate to recommend staying at the international over them,4/5
2,the hotel is very nice with the christmas decorations the room is quite large with privileged views of canary wharf the service is quite basic cleaning every  days seems insufficient to me in fact the window panes were quite dirty but i must also say that the location is magnificent well connected by underground buses or boat which can be a great experience to go along the river to central london having a wine enjoying the views and the boat ride for a modest price of course i recommend it ,4/5
3,the only positive thing i can comment on is the location the hotel in itself is not great to say the least the lobby and common areas have a smell so dense and chemical its like walking into a christmas scented candle the rooms have no proper ventilation as well as bedsstayed in a room with two single beds that feel like the mattress is about to slide off and walls that were thinner than paper the shampoo and body soaps were a total joke considering the hotel has four stars we had breakfast included and were utterly disappointed to find sunny side up eggs that had the texture of plastic bacon that could not be chewed through and instant coffee packets since the coffee machine was broken even though there was a perfectly functional machine in the bar there were no vegetables in sight and the one basket of fruit left the fruit with a sticky residue when picked up to top off a very mediocre breakfast the staff was very unwelcoming and seemed to be conflicted about hotel policies like wether or not to bring down your stapled paper with your room number on it to breakfast or not needless to say the hotel i experienced was not one of four stars,2/5
4,my stomach dropped to the floor as soon as i entered all furniture completely damaged and food and drip stains rips  tears on all curtains carpets dirty marks all over walls and torn wallpaper smells like a homeless hostel the bed had bed bugs got bitten and the mattress sunken stained and smelly the evening meal left most people speechless a bag of frozen veg from iceland halal only food strange food choices not edible i have no words the restaurant is disgusting dirty cheap stained carpet tiles no decor rough coat of paint only water given to drink nothing more than a run down empty room and the staff cater for certain groups only i feel upset wasted my moneyleaving this place feeling dirty need to go home for a bath a horrible place and  star only anyone who gives this hotel a good review has no standards at all and they are probably street sleepers themselves,1/5
5,great location for a low cost hotel used it a couple of times to stay over after a gig at the o never disappointedjust set expectations appropriately my room has no window but who cares im only sleeping there clean quiet nice  warm pleasant bathroom its a bit of a rabbit warren in the lower ground and finding your room needs a hobbitlike flair for exploring underground but you only do it a couple of times bar is nice think  viberecommended but dont go thinking you het the ritz,3/5
6,never left a review before but felt this place deserved one i did not have a pleasant experience how this place can claim it is  is beyond me stayed for  nights and was kept awake for  of those nights by the fire alarm repeatedly going off from  am cleaning staff making large amounts of noise in the corridors very early with no regard for the guests reception staff were utterly miserable no eye contact or any general manners bar staff were nice though rooms are very dated and poorly decoratedwhen checking out there were no staff around at  am to whom i could talk to you just throw the key cards in a box and bugger offoverall not a nice stay in hindsight it is worth paying more and staying somewhere where you can actually sleeponly positive is the location very easy walk to canada place and tube stations,1/5
7,this hotel is smoke and mirrors while the lobby is beautiful that is where the glamour ends our soap dish in the shower was thick with gross scum our bed was two single beds pushed together neither our phone nor fan worked wallpaper is coming off the walls in the hallway and other than the lobby where they seem to put their money the place is shabby though they ask a lot of money to stay there if you are handicapped they lock you out at night and dont pay attention when you come to the doors we asked stephen for an extra pillow that never arrived if you are out and about london late at night eat before you get back as their food service will be closed and they do not allow outside food to come into the hotel dont bother expressing concerns to the general manager as he could not be less bothered to listen though we stayed here once before we shall not be staying here again had the general manager been more engaged maybe but we were simply blown off by this pompous man without your customers mate what do you have get off your high horse and listen to them,2/5
8,extremely friendly and pleasant helpful staff throughout check out time would be better if it was later than ambeautifully decorated for xmas lovely lobby and bar arearooms big  spacious beds not very comfortable but didnt interrupt sleep,4/5
9,this is more of a budget hotel but if you can look past the outdated décor and horrible lift then it represents fairly good valuerooms are quite spacious and generally clean and comfortablewhat really sets this hotel apart from others is the locationthe hotel is situated approximately within a  minute walk to canary wharf station and shopscant get more central than this,3/5
