,review,rating
0,hotel complaintreceptionist   different receptionists were rude in different ways ,2/5
1,i stayed at the hotel candia with an educational tour group of  at the end of july during the hottest part of the summer the hotel has an amazing view of the acropolis and is fantastic at night  ,4/5
2,i hate to be so critical so lets start with the goodreception was nice i think her name is vasiliki no problems thereits about a  minute walk from the train station directly from the airportif you get an aceopolis view you can see it but its not a great view the rooftop area is better but its actuslly quite far awayconsi guess they allow smoking inside the rooms because my room smelled like cigarettes the second i got there the next day some people checked in and every m my room would get hit with the heavy smell of cigarettesthe bathrooms are tiny and the shower is awkward like its not a fixed shower head rather a detachable one that doesnt stay rigidthe walls are incredibly thin you can hear every car drive by and every conversation being hadthere is construction and they start early i was awakened around am by banging drills all kinds of noises and im fairly certain they were working in the room right next to or above mine so the planning of where to put a guest isnt very well thought outthe area is a bit seedy id recommend not walking around too late at nightthe airport conditioning is loud it creaks and pops all night and when the fan kicks in sounds like a motorcycle driving bylook if youre a smoker and a heavy sleeper then this place may not be so bad but im neither so i had a hard time getting rest here and overall i cannot recommend this hotel,1/5
3,nice hotel and great for the price rooms are adequate clean and with everything you need for a city break where this hotel sets it apart is the amazing roof top bar and pool area wonderful views to end a busy day of site seeing with a nice cold glass of wine ,4/5
4,stayed has it was booked by our tour company when i saw our room i was literally in tears it was like a room from the bates motel  painted wires bathroom from the s cracked sink ,3/5
5,dont be fooled by the photos this is a  star hotel with  star managementthe standard room with  beds and a balcony actually has  bed and no balconythe family room resembles a dormitory from a s orphanage with a balcony just big enough for a slender man to edge along sidewaysthe swimming pool is waist deep and feels crowded if  people are in it the hotel has well over  roomsthe front desk range from cheerily unhelpful to surly and unhelpfulthe staff are friendly the hotel is kept clean and the roof bar is a nice place to sit and relax,2/5
6,lovely little hotel the room was clean and modern all the staff were friendly and very helpful and all spoke english and the bar terrace was great with a little pool to use and great food to enjoy whilst doing so the views are great the area would probably put some people off but its actually very safe just alternative,4/5
7,nice hotel highlighted by an amazing rooftop bar and pool with a city view including the acropolis  manned by helpful and friendly bar staff the location is good enough whilst not central it is close to the efficient metro breakfast wasnt amazing however cannot think of any other negatives for the value of this hotel,4/5
8,the rooms were clean and sufficiently equipped the location is a bit far from the acropolis but it does have a great rooftop view of it and is just four stops away on the metro its a little farther from the airport about  minutes the rooftop pool is also nice though small and the surrounding deck gets super hot so wear your flip flops until you step in the food servers were fantastic but the front desk courtesy was hit or miss one of the gentlemen who worked it was super friendly and helpful and the other was very aloof,4/5
9,ive stayed in this hotel for a vacation with weroad the first day of our trip and the last day as we were  girls we were arranged in a triple room plus a folding bed for the fourth person ,2/5
10,stayed here for  nights in one room as a family of  honestly this hotel was nothing special  sounds harsh but in our opinion the photos are deceiving the rooftop and breakfast are the best parts so ill start there the rooftop has friendly and attentive staff when ordering fooddrinks and a beautiful view of the acropolis with ample seating and a small pool the included breakfast is the best we have ever had at a hotel tons of variety with sweets and fresh fruit breads eggs meat cheese greek yogurt specialty coffee etc the breakfast is the only reason i didnt give  the not so good part  if youre travelling with small kids who will want to splash and play in a pool  note that this pool is small and other people in the pool will be splashed the room was very cramped and lacked outlets no outlet in the washroom so many of us had to take turns charging our devices we also had  single beds which we didnt mind but they werent very comfy overall we agreed that this is a bare minimum hotel  but the breakfast and rooftop were nice as well as the location very close to the subway which was a plus,3/5
11,the rooms are not all of the same quality we had two and the last one needed some attentionthe location is not greatrooftop is pleasant it has a view of the acropolis unfortunately the pool is way too small,3/5
12,everything was great metro main train station and bus stops are just  min walking distance breakfast had many items though more vegan and vegetarian options could be included the rooftop pool was awesome all staffs are very friendly,5/5
13,no good reason to stay here front desk has a mean disposition rooms are frumpy ugly and dated from s maybe drapes dont even cover the window so you cant make the room totally dark ,2/5
14,staff are very friendly and helpful the hote isnt great its by the main road so the noise is non stop even during the night the room is dated and old the bath room needs to be upgraded the pictures are different than the reality its very close to metro station would i stay there again no,2/5
15,fantastic hotel with amazing rooftop bar view on acropolis and swimming pool personel is very friendly and helpful bathroom is not yet renovated therefore not the  stars they deserve,4/5
16,old smelly and small room stayed with a group and checked out and went to a better hotel had an included dinner with poor quality bland food the breakfast is like a game of hide and seek large groups of people so it was even harder to find food,2/5
17,staff super friendly rooms a good size could use a bit of updating but the ac worked well and the size was perfect for a couple  pool on the rooftop and rooftop terrace in general great not sure why some reviews said the area was sketchy  its not its just not the posh central area close to public transit though and a  uber away from plaka  would stay again,5/5
18,horrible old rooms beds and pillows are rock hardstaff were friendlyclose enough to the train stationonly good for the roof top view,1/5
19,nice hotel at a reasonable cost in a good part of athens very nice pool area very comfortable room with good ac and tv,5/5
20,overall a star hotel by scandinavian standards we were pleased with our spaceous newly renovated room but others in our travel party were not that fortunate ,3/5
21,the room has a balcony with a chair and table very clean comfortable queen bed breakfast wasnt too bad not much selection the pool is on the roof at times it gets busy but you can sit and enjoy the viewsbaggage  storage is a bit risky cause its just a room you go and drop ur bag  there and leave anyone can go and take whatever they wantthe staff are friendly,5/5
22,next to metaxourgeio metro area has a bad vibe but staff are friendly rooms are certainly not  star quality but got us by need more plug sockets as the were only two and in conveniently located bathroom needs a window as extractor was not doing a good job if youre on a tight budget then this is your place unfortunately we wont be staying here again breakfast was average,3/5
