,review,rating
0,an absolute surprise i didnt expect such an amazing room for the price the half board meals are out of this world so much food and varietythe staff is super nice and helpfularis and angela at the cafenicole at the th floor dining roommaria and dimitri at the front deskand so many others i cant nameif you are visiting athens then do yourself a favor and stay here you will be amazed,5/5
1,one of the most beautiful hotels we have ever seen in our lives in all our trips is this hotel in athens and the nice gentleman wearing glasses in the reception and mr manuel who works in the restaurant at breakfast really this place deserves  and not just five stars and we hope to return to it and we will tell all our colleagues in belgium about this place caesar nikolas,5/5
2,this is a really great hotel however the area it is in feels quite unsafe when you walk from the metro the area feels very dirty there are syringes on the floor and areas where there are groups of people injecting drugs and sleeping rough i visited here with my daughter and as two women we really didnt enjoy walking back to the hotel in the evenings its a real shame because the hotel itself is lovely very clean and the breakfast every morning is really good you can walk easily into the centre of athens in about  minutes,3/5
3,we got the room after they told us the apartment we booked at the near neighbourhood is not availableto be honest after we passed on that neighborhood on our way to the hotel we were glad since that street seems really sketchy and quite crappythe room itself in the hotel is pleasant vintage looking clean with great wifi and a small balconythe stuff were friendly and welcoming the only thing to improve is the vegan options in the breakfast buffet,4/5
4,the rooms are small but really comfortable air conditioning and smart tv i really liked the breakfast with plenty of options the view from the top floor is also really nice i recommend it to everyone the neighbourhood is a bit ugly if you have a car you need to look for a parking lot,5/5
5,terrible service  beware of the apartment scam this hotel also manages apartments and when we arrived at the reception to collect the keys for our apartment we were told that they had doublebooked it and the apartment was no longer available despite us booking for two nights instead they put us in a hotel room that was clearly meant for staff not guestsafter reading other reviews it seems this missing apartment keys scam has happened to several other people as well so beware if youre planning to book an apartment hereto make matters worse the receptionist was rude and acted annoyed as if the situation was somehow our fault instead of their mistakeits disgraceful i cant understand how this place is still in business on top of that its located in a very rundown area with junkies hanging around right outside the entrance i wont be returning here ever,1/5
6,given its prime location the golden city hotel is definitely worth booking  especially considering the prices and included breakfast we stayed here for seven nights and have only good things to say about the staff  the hotel ,4/5
7,booked a room for an appartment hotel but the hotel agreed on letting us stay at the hotel because of our baby and did all their best to give us the keys as soon as possible the reception is very professional and very kind restaurant and breakfast staff are also very kind and attentive to our needs i recommend this hotel with a  stars well deserved ,5/5
8,the only good thing about the hotel is friendly staff maybe also the dolmadaki we ate at breakfast the rooms were very tiny the bathroom is not proper while showering the water spreads all over the bathroom floor no slippers or flip flops wet floor no slippers no hygiene unfortunately the district in which the hotel exists is full of homeless people and junkies they gather towards evening we were afraid while returning to hotel in the evening streets were not safe no coffee table no table no chairs in the room or balcony no place to eat or drink sth in the room no table for women to put makeup stuff in the room,2/5
9,little close to a few bad neighborhoods but the place is nice and friendly the room was actually wery good but the bed was pretty hard and not to good after  nights off it but my back is still ok so i guess we goodbreakfast was hot and always good nice staff but the cleaning ladies are  so nice and friendly always happy to help,4/5
10,we traveled as a large group of  people and stayed at this hotel our stay was fine but we were very disappointed when important items from several different rooms accidentally left behind upon our checkout were not found despite four ,1/5
11,disgusting the room was horrible awful smell which cannot be removed the stink spreads also to a corridor and makes you feel nauseated it looks like guests smoked insidehorrible service is adding up to the general picture rude and unpleasant receptionist who doesnt perform professional duties specifically solving the appearing problems they said if you cant stay in room which was offered leavedangerous neighborhood drugs addicted alcoholics and homeless are all around the areanever ever again,1/5
12,the staff was really nice  also the room was clean but unfortunately the location is not very good because near the hotel is one street that is full of addicted and homeless people that shows you unbelievable moments but also the online taxi is very cheap so you can easily book a taxi from the door of your hotel but be careful to get it only online otherwise you have to pay a lot,3/5
13,other than our room being very small the rest was great they have a very nice restaurant and bar and the staff was great we enjoyed our stay very much,5/5
14,the hotel is in a less than wonderful area with people sleeping on the streets close by its in a handy location to metro and bus for exploring the sightsthe rooms are ok breakfast quite good but cold dont have the buffet dinner again cold and very limited choice staff were pleasant and helpful,3/5
15,worst customer service ever rude and condescending to tourists they also help facilitate an airbnb scam where even if you check in and pick up the keys they will cancel your reservation and give it to someone else and then refuse to give you your money back or speak to the owner of the scam to top it all off its in the worst drug infested neighbourhood in athens with human faeces and used syringes everywhere,1/5
16,do not stay here if you are a tourist it is in the worst part of athens with heroin users and homeless across the street and nearby blocks not safe to walk at night no nearby stores or restaurants either the ac in rooms dont work either,1/5
17,if i was able to give zero starstay away from this dangerous hotel the staff are so lazy and ignore your requeststhere was noise until  am and reception didnt come to tell them to stop it  it does not have even an electric kettle the shower had problem the air conditioner was not working properly the neighborhood is so dangerous so many drug addict around i ran away after one night,1/5
18,the hotel is about m from the metaxourgeio metro station the third stop from syntagma square station ,5/5
