,review,rating
0,the staff are very kind and helpful whenever i talked with them or asked them questions for locationssuggestions for places to eat or see the hotel is right on the main road of the centre making transportation with the bus or metro instant there are 2 atm machines outside the hotel and on the opposite side also 3 coffee and general stuff stores outside with one being 24 hour open for whenever i needed anything the room might be slightly vintage but still very cozy with airconditioning overall i recommend it and will come again next time ,5/5
1,the hotel is in a good spot but the lifts are small and often crowded i had to carry my luggage up three floors because it eas a big line for the elevators which was challenging given my thoracic polydiscopathy ,5/5
2,please be careful before you even think of booking this hotel because your personal belongings are not safe in the hotelthe stuff and the reception is very arogant and unhelpful so if you forget something and you ask for it they tell you to check the garbage yourself they dont even clean the room they only throw things  i was they personally and i saw it and heard it with my own eyes and ears their arrogance and liesthey dont even care for the customersthe answer i got from the receptionist was that he doesnt care for my opinion or reviewbid red flagavoid these liears,1/5
3,i had a terrible experience at this hotel the room was dirty and smelled musty and the bathroom was in poor condition with mold in the corners the staff was unhelpful and rude and it took forever to get any service the noise from the street kept me up all night i would not recommend this place to anyone no praking they lied in booking about having prakingcomplete waste of money dont go in vergina hotel,1/5
4,kind staff great location close to the bus station and city center by foot rooms are a bit old and not maintained but comfortable bed air condition and fridge for the price is great,5/5
5,dirty room rude staff in the room we found grass growing out of the cabinet not to mention the fact that we found dirty womens underwear next to the bedside cabin when we arrived to the room another thing to mention is the smell that came from the room absolutely disgusting will not be staying here again,1/5
6,this time they got new wooden floor and tv sets i got free late check out and kettle on the reception noise from early morning workers are loud bad isolation walls and toilete damaged good breakfast but still like in pandemic not self service,3/5
7,prefect location amazing staff great breakfast good internet nice beds fine shower okay this a 3 star hotel some part old but maintained some painting could do god impressions but for sure a accommodation i will return to again ahh nice big rooms and balcony helps if your a smoker,5/5
8,the bathtub door was broken the toilet was clogged before our arrival and not just to our room and there was nothing done about that most importantly the rooms were not up to our expectations since the photos were taken in the better looking rooms also the breakfast wasnt that bad although simple but the coffee was straight up water with some chunks in it,1/5
9,hotel well located with restaurants and markets nearby close to local museum average hotel with a bit dated furnishings but generally clean if not too spacious some rooms have balconies that face alleyway and others that face the front towards the promenade the breakfast was also average and as expected,3/5
